ECG_Raw,ECG_Clean,ECG_Rate,ECG_Quality,ECG_R_Peaks,ECG_P_Peaks,ECG_P_Onsets,ECG_P_Offsets,ECG_Q_Peaks,ECG_R_Onsets,ECG_R_Offsets,ECG_S_Peaks,ECG_T_Peaks,ECG_T_Onsets,ECG_T_Offsets,ECG_Phase_Atrial,ECG_Phase_Completion_Atrial,ECG_Phase_Ventricular,ECG_Phase_Completion_Ventricular
0.018045958879078138,0.017732868553462226,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.018272740985900936,0.01851304612899077,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.017954179008221473,0.01936275314395377,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.017347904828428275,0.02029908669078734,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.017531458003087193,0.021292199686134383,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.019334572313850884,0.022313681825842716,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.022219169851774925,0.0233695073334328,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.024828248974872253,0.024496255679916635,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.026950262410448362,0.025744330407876458,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.029984274363297668,0.027160221857604194,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.03437928965103558,0.028761096567317807,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.03738716447910993,0.03052342812249391,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.035422496480236036,0.03242431208735689,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.02910036183759232,0.03451296143915309,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.024014871061491038,0.03692210197386094,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.025331813923515755,0.03977268115377842,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.03295410830510533,0.04304607770989054,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.043027711301199305,0.04654199814913355,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.052526067247435054,0.049956272083228156,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.060628705053844836,0.05300848629056643,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06683908742853892,0.055528718661765585,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.07033757573539545,0.05746400939646536,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.07164806446462729,0.05881966782214111,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.07288261467313861,0.0595801950623446,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.07462279258560645,0.059671719178996455,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.07359140420215467,0.05901622062824757,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06592201392283926,0.05765474730982884,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.05304307046464037,0.055827065114447606,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.041876415961977956,0.05390708461377218,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.03805543858721703,0.05223346169506196,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.04078517862040897,0.05098568541961914,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.04530518446682687,0.05019361873750683,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.04834091429988928,0.049824250012308356,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.04974492828107941,0.049849315075877934,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.05050879393713544,0.050265010342247986,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.051233838433239316,0.051079973090923096,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.05224932742920661,0.05228042823964034,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.05380887026398339,0.053793283070860176,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.055842770335219206,0.055494278743583265,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.0580470609241886,0.05727303158543407,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06028243135607023,0.059093091843254224,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06252276955479943,0.0609840660500061,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06445730285337731,0.06298374448199606,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.0656504019098671,0.06509870252393134,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06630166388371138,0.06731045227002726,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06740561438238267,0.06958709464303639,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.06979669297572726,0.07186108233419607,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.07336882080747205,0.07399868439809061,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.07756489174796975,0.07581720946480983,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.08214945924781417,0.07714894004189152,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.0868510983687065,0.07788904181700024,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.09059078227657873,0.07799199905074877,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.09208164397067026,0.07744790518651823,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.09121502471729583,0.07627280067466514,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.0885637632124109,0.0745074262541702,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
0.08329187750141431,0.07222353284580353,139.68957871396893,0.8452852863957259,0,0,0,0,0,0,0,0,0,0,0,,0.0,,0.0
